,title,author,rank,isbn,weeks_on_list,dagger,published_date
0,ALONE,Lisa Gardner,1,9780553901139,2,0,2011-03-06
1,TICK TOCK,James Patterson and Michael Ledwidge,2,9780316129183,4,0,2011-03-06
2,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,3,9780307272119,4,0,2011-03-06
3,WATER FOR ELEPHANTS,Sara Gruen,4,9781565125858,4,0,2011-03-06
4,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,5,9780307272300,4,0,2011-03-06
5,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,6,9780307593672,4,0,2011-03-06
6,A DISCOVERY OF WITCHES,Deborah Harkness,7,9781101475690,2,0,2011-03-06
7,DREAMS OF A DARK WARRIOR,Kresley Cole,8,9781439177013,1,0,2011-03-06
8,CUTTING FOR STONE,Abraham Verghese,9,9780307271341,4,0,2011-03-06
9,THE HELP,Kathryn Stockett,10,9781440697661,4,0,2011-03-06
10,THE CONFESSION,John Grisham,11,9780385534130,4,0,2011-03-06
11,HER LAST LETTER,Nancy C Johnson,12,9780979190919,1,0,2011-03-06
12,DEAD OR ALIVE,Tom Clancy with Grant Blackwood,13,9781101476543,4,0,2011-03-06
13,ROOM,Emma Donoghue,14,9780316129114,4,0,2011-03-06
14,HOTEL ON THE CORNER OF BITTER AND SWEET,Jamie Ford,15,9780345512505,1,0,2011-03-06
15,MARRYING DAISY BELLAMY,Susan Wiggs,16,9781426884269,0,0,2011-03-06
16,THE LOST SYMBOL,Dan Brown,17,9781400079148,0,0,2011-03-06
17,THE POSTMISTRESS,Sarah Blake,18,9780425238691,0,0,2011-03-06
18,LITTLE BEE,Chris Cleave,19,9781416589648,0,0,2011-03-06
19,A HEARTBEAT AWAY,Michael Palmer,20,9781429994262,0,0,2011-03-06
20,TREACHERY IN DEATH,J D Robb,1,9781101475867,1,0,2011-03-13
21,ALONE,Lisa Gardner,2,9780553901139,3,0,2011-03-13
22,WATER FOR ELEPHANTS,Sara Gruen,3,9781565125858,5,0,2011-03-13
23,PALE DEMON,Kim Harrison,4,9780061138065,1,0,2011-03-13
24,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,5,9780307272119,5,0,2011-03-13
25,TICK TOCK,James Patterson and Michael Ledwidge,6,9780316129183,5,0,2011-03-13
26,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,7,9780307272300,5,0,2011-03-13
27,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,8,9780307593672,5,0,2011-03-13
28,GIDEON’S SWORD,Douglas Preston and Lincoln Child,9,9780446564328,1,0,2011-03-13
29,A DISCOVERY OF WITCHES,Deborah Harkness,10,9781101475690,3,0,2011-03-13
30,THIS SIDE OF THE GRAVE,Jeaniene Frost,11,9780062065797,1,0,2011-03-13
31,CUTTING FOR STONE,Abraham Verghese,12,9780307271341,5,0,2011-03-13
32,A CREED IN STONE CREEK,Linda Lael Miller,13,9780373775552,1,0,2011-03-13
33,HARVEST MOON,Ron Carr,14,9780778329428,1,0,2011-03-13
34,THE HELP,Kathryn Stockett,15,9781440697661,5,0,2011-03-13
35,THE PARIS WIFE,Paula McLain,16,9780345521323,0,0,2011-03-13
36,THE CONFESSION,John Grisham,17,9780385534130,0,0,2011-03-13
37,DREAMS OF A DARK WARRIOR,Kresley Cole,18,9781439136805,0,0,2011-03-13
38,ROOM,Emma Donoghue,19,9780316129114,0,0,2011-03-13
39,HER LAST LETTER,Nancy C Johnson,20,9780979190919,0,0,2011-03-13
40,SING YOU HOME,Jodi Picoult,1,9781439102725,1,0,2011-03-20
41,THE WISE MAN'S FEAR,Patrick Rothfuss,2,9780756404734,1,0,2011-03-20
42,RIVER MARKED,Patricia Briggs,3,9780441019731,1,0,2011-03-20
43,WATER FOR ELEPHANTS,Sara Gruen,4,9781565125605,6,0,2011-03-20
44,TICK TOCK,James Patterson and Michael Ledwidge,5,9780316129183,6,0,2011-03-20
45,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,6,9780307593672,6,0,2011-03-20
46,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,7,9780307272119,6,0,2011-03-20
47,TREACHERY IN DEATH,J D Robb,8,9781101475867,2,0,2011-03-20
48,ALONE,Lisa Gardner,9,9780553901139,4,0,2011-03-20
49,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,10,9780307272300,6,0,2011-03-20
50,A DISCOVERY OF WITCHES,Deborah Harkness,11,9781101475690,4,0,2011-03-20
51,MINDING FRANKIE,Maeve Binchy,12,9780307273567,1,0,2011-03-20
52,LIVE WIRE,Lora Leigh,13,9781429985352,1,0,2011-03-20
53,CUTTING FOR STONE,Abraham Verghese,14,9780375714368,6,0,2011-03-20
54,A CREED IN STONE CREEK,Linda Lael Miller,15,9780373775552,2,0,2011-03-20
55,THE HELP,Kathryn Stockett,16,9781440697661,0,0,2011-03-20
56,THE PARIS WIFE,Paula McLain,17,9780345521323,0,0,2011-03-20
57,THE LINCOLN LAWYER,Michael Connelly,18,9780759514713,0,0,2011-03-20
58,THE CONFESSION,John Grisham,19,9780385534130,0,0,2011-03-20
59,HARVEST MOON,Ron Carr,20,9781426887642,0,0,2011-03-20
60,WATER FOR ELEPHANTS,Sara Gruen,1,9781616200817,7,0,2011-03-27
61,THE JUNGLE,Clive Cussler with Jack Du Brul,2,9780399157042,1,0,2011-03-27
62,SING YOU HOME,Jodi Picoult,3,9781439102725,2,0,2011-03-27
63,LOVE YOU MORE,Lisa Gardner,4,9780553908114,1,0,2011-03-27
64,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,5,9780307593672,7,0,2011-03-27
65,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,6,9780307272119,7,0,2011-03-27
66,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,7,9780307272300,7,0,2011-03-27
67,TICK TOCK,James Patterson and Michael Ledwidge,8,9780316129183,7,0,2011-03-27
68,A DISCOVERY OF WITCHES,Deborah Harkness,9,9781101475690,5,0,2011-03-27
69,THE LINCOLN LAWYER,Michael Connelly,10,9780759514713,1,0,2011-03-27
70,THE WISE MAN'S FEAR,Patrick Rothfuss,11,9780756404734,2,0,2011-03-27
71,CUTTING FOR STONE,Abraham Verghese,12,9780375714368,7,0,2011-03-27
72,THE PARIS WIFE,Paula McLain,13,9780345521323,1,0,2011-03-27
73,THE HELP,Kathryn Stockett,14,9781440697661,6,0,2011-03-27
74,TREACHERY IN DEATH,J D Robb,15,9781101475867,3,0,2011-03-27
75,MINDING FRANKIE,Maeve Binchy,16,9780307273567,0,0,2011-03-27
76,SILENT MERCY,Linda Fairstein,17,9780525952022,0,0,2011-03-27
77,RIVER MARKED,Patricia Briggs,18,9780441019731,0,0,2011-03-27
78,THE TIGER’S WIFE,Tea Obreht,19,9780385343831,0,0,2011-03-27
79,THE CONFESSION,John Grisham,20,9780385534130,0,0,2011-03-27
80,WATER FOR ELEPHANTS,Sara Gruen,1,9781616200817,8,0,2011-04-03
81,TOYS,James Patterson and Neil McMahon,2,9780316097369,1,0,2011-04-03
82,THE LINCOLN LAWYER,Michael Connelly,3,9780759514713,2,0,2011-04-03
83,SING YOU HOME,Jodi Picoult,4,9781439102725,3,0,2011-04-03
84,LOVE YOU MORE,Lisa Gardner,5,9780553908114,2,0,2011-04-03
85,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,6,9780307593672,8,0,2011-04-03
86,THE JUNGLE,Clive Cussler with Jack Du Brul,7,9780399157042,2,0,2011-04-03
87,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,8,9780307272119,8,0,2011-04-03
88,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,9,9780307272300,8,0,2011-04-03
89,CUTTING FOR STONE,Abraham Verghese,10,9780375714368,8,0,2011-04-03
90,TICK TOCK,James Patterson and Michael Ledwidge,11,9780316129183,8,0,2011-04-03
91,A DISCOVERY OF WITCHES,Deborah Harkness,12,9781101475690,6,0,2011-04-03
92,THE PARIS WIFE,Paula McLain,13,9780345521323,2,0,2011-04-03
93,THE HELP,Kathryn Stockett,14,9781440697661,7,0,2011-04-03
94,THE TIGER’S WIFE,Tea Obreht,15,9780385343831,1,0,2011-04-03
95,MINDING FRANKIE,Maeve Binchy,16,9780307595164,0,0,2011-04-03
96,THE WISE MAN'S FEAR,Patrick Rothfuss,17,9780756404734,0,0,2011-04-03
97,AN ENGAGEMENT IN SEATTLE,Debbie Macomber,18,9781426887635,0,0,2011-04-03
98,THE CONFESSION,John Grisham,19,9780385534130,0,0,2011-04-03
99,TREACHERY IN DEATH,J D Robb,20,9781101475867,0,0,2011-04-03
100,LIVE WIRE,Harlan Coben,1,9781101476161,1,0,2011-04-10
101,WATER FOR ELEPHANTS,Sara Gruen,2,9781616200817,9,0,2011-04-10
102,THE LINCOLN LAWYER,Michael Connelly,3,9780759514713,3,0,2011-04-10
103,SING YOU HOME,Jodi Picoult,4,9781439102725,4,0,2011-04-10
104,TOYS,James Patterson and Neil McMahon,5,9780316097369,2,0,2011-04-10
105,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,6,9780307593672,9,0,2011-04-10
106,NIGHT ROAD,Kristin Hannah,7,9781429965026,1,0,2011-04-10
107,THE SATURDAY BIG TENT WEDDING PARTY,Alexander McCall Smith,8,9780307378392,1,0,2011-04-10
108,LEAVING,Karen Kingsbury,9,9780310266280,1,0,2011-04-10
109,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,10,9780307272119,9,0,2011-04-10
110,LOVE YOU MORE,Lisa Gardner,11,9780553908114,3,0,2011-04-10
111,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,12,9780307272300,9,0,2011-04-10
112,CUTTING FOR STONE,Abraham Verghese,13,9780375714368,9,0,2011-04-10
113,THE JUNGLE,Clive Cussler with Jack Du Brul,14,9781101486412,3,0,2011-04-10
114,THE PARIS WIFE,Paula McLain,15,9780345521323,3,0,2011-04-10
115,A DISCOVERY OF WITCHES,Deborah Harkness,16,9781101475690,0,0,2011-04-10
116,BREAKING THE RULES,Suzanne Brockmann,17,9780345521248,0,0,2011-04-10
117,A LESSON IN SECRETS,Jacqueline Winspear,18,9780061727672,0,0,2011-04-10
118,TICK TOCK,James Patterson and Michael Ledwidge,19,9780316129183,0,0,2011-04-10
119,THE HELP,Kathryn Stockett,20,9781440697661,0,0,2011-04-10
120,THE LAND OF PAINTED CAVES,Jean M Auel,1,9780517580516,1,0,2011-04-17
121,LOVER UNLEASHED,J R Ward,2,9780451233165,1,0,2011-04-17
122,WATER FOR ELEPHANTS,Sara Gruen,3,9781616200817,10,0,2011-04-17
123,THE LINCOLN LAWYER,Michael Connelly,4,9780759514713,4,0,2011-04-17
124,MYSTERY,Jonathan Kellerman,5,9780345524386,1,0,2011-04-17
125,LIVE WIRE,Harlan Coben,6,9780525952060,2,0,2011-04-17
126,TOYS,James Patterson and Neil McMahon,7,9780316097369,3,0,2011-04-17
127,SING YOU HOME,Jodi Picoult,8,9781439102725,5,0,2011-04-17
128,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,9,9780307593672,10,0,2011-04-17
129,LOVE YOU MORE,Lisa Gardner,10,9780553908114,4,0,2011-04-17
130,THE DARKEST SECRET,Gena Showalter,11,9781426888878,1,0,2011-04-17
131,THE PARIS WIFE,Paula McLain,12,9780345521323,4,0,2011-04-17
132,HOME FREE,Fern Michaels,13,9781420122480,1,0,2011-04-17
133,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,14,9780307272119,10,0,2011-04-17
134,THE TROUBLED MAN,Henning Mankell,15,9780307593498,1,0,2011-04-17
135,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,16,9780307272300,0,0,2011-04-17
136,CUTTING FOR STONE,Abraham Verghese,17,9780375714368,0,0,2011-04-17
137,VAMPIRE MINE,Kerrelyn Sparks,18,9780062085313,0,0,2011-04-17
138,THE SHADOW OF YOUR SMILE,Mary Higgins Clark,19,9781439180983,0,0,2011-04-17
139,THE JUNGLE,Clive Cussler with Jack Du Brul,20,9781101486412,0,0,2011-04-17
140,THE FIFTH WITNESS,Michael Connelly,1,9780316069380,1,0,2011-04-24
141,WATER FOR ELEPHANTS,Sara Gruen,2,9781616200817,11,0,2011-04-24
142,THE LINCOLN LAWYER,Michael Connelly,3,9780759514713,5,0,2011-04-24
143,I’LL WALK ALONE,Mary Higgins Clark,4,9781439186794,1,0,2011-04-24
144,THE HELP,Kathryn Stockett,5,9780425232200,8,0,2011-04-24
145,THE LAND OF PAINTED CAVES,Jean M Auel,6,9780517580516,2,0,2011-04-24
146,44 CHARLES STREET,Danielle Steel,7,9780440339885,1,0,2011-04-24
147,NAVARRO'S PROMISE,Lora Leigh,8,9781101477670,1,0,2011-04-24
148,MYSTERY,Jonathan Kellerman,9,9780345524386,2,0,2011-04-24
149,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,10,9780307593672,11,0,2011-04-24
150,LIVE WIRE,Harlan Coben,11,9781101476161,3,0,2011-04-24
151,THE PARIS WIFE,Paula McLain,12,9780345521323,5,0,2011-04-24
152,SING YOU HOME,Jodi Picoult,13,9781439102725,6,0,2011-04-24
153,TOYS,James Patterson and Neil McMahon,14,9780316097376,4,0,2011-04-24
154,LOVE YOU MORE,Lisa Gardner,15,9780553908114,5,0,2011-04-24
155,LOVER UNLEASHED,J R Ward,16,9780451233165,0,0,2011-04-24
156,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,17,9780307272300,0,0,2011-04-24
157,CUTTING FOR STONE,Abraham Verghese,18,9780375714368,0,0,2011-04-24
158,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,19,9780307272119,0,0,2011-04-24
159,CRUNCH TIME,Diane Mott Davidson,20,9780061348150,0,0,2011-04-24
160,WATER FOR ELEPHANTS,Sara Gruen,1,9781616200817,12,0,2011-05-01
161,CHASING FIRE,Nora Roberts,2,9781101513781,1,0,2011-05-01
162,THE LINCOLN LAWYER,Michael Connelly,3,9780759514713,6,0,2011-05-01
163,THE FIFTH WITNESS,Michael Connelly,4,9780316069380,2,0,2011-05-01
164,THE HELP,Kathryn Stockett,5,9780425232200,9,0,2011-05-01
165,SOMETHING BORROWED,Emily Giffin,6,9781429904605,1,0,2011-05-01
166,I’LL WALK ALONE,Mary Higgins Clark,7,9781439186794,2,0,2011-05-01
167,THE LAND OF PAINTED CAVES,Jean M Auel,8,9780517580516,3,0,2011-05-01
168,A GAME OF THRONES,George RR Martin,9,9780553897845,1,0,2011-05-01
169,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,10,9780307593672,12,0,2011-05-01
170,THE SEARCH,Nora Roberts,11,9780515149487,1,0,2011-05-01
171,44 CHARLES STREET,Danielle Steel,12,9780385343145,2,0,2011-05-01
172,THE PARIS WIFE,Paula McLain,13,9780345521323,6,0,2011-05-01
173,SAVE ME,Lisa Scottoline,14,9781429959797,1,0,2011-05-01
174,CUTTING FOR STONE,Abraham Verghese,15,9780375714368,10,0,2011-05-01
175,MYSTERY,Jonathan Kellerman,16,9780345524386,0,0,2011-05-01
176,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,17,9780307272119,0,0,2011-05-01
177,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,18,9780307272300,0,0,2011-05-01
178,THE 9TH JUDGMENT,James Patterson and Maxine Paetro,19,9780446565509,0,0,2011-05-01
179,LIVE WIRE,Harlan Coben,20,9781101476161,0,0,2011-05-01
180,WATER FOR ELEPHANTS,Sara Gruen,1,9781616200817,13,0,2011-05-08
181,THE SIXTH MAN,David Baldacci,2,9780446573078,1,0,2011-05-08
182,SOMETHING BORROWED,Emily Giffin,3,9781429904605,2,0,2011-05-08
183,THE HELP,Kathryn Stockett,4,9780425232200,10,0,2011-05-08
184,A GAME OF THRONES,George RR Martin,5,9780553897845,2,0,2011-05-08
185,THE LINCOLN LAWYER,Michael Connelly,6,9780759514713,7,0,2011-05-08
186,THE FIFTH WITNESS,Michael Connelly,7,9780316069380,3,0,2011-05-08
187,EVE,Iris Johansen,8,9781429920162,1,0,2011-05-08
188,CHASING FIRE,Nora Roberts,9,9781101513781,2,0,2011-05-08
189,THE LAND OF PAINTED CAVES,Jean M Auel,10,9780517580516,4,0,2011-05-08
190,THE SEARCH,Nora Roberts,11,9780515149487,2,0,2011-05-08
191,I’LL WALK ALONE,Mary Higgins Clark,12,9781439186794,3,0,2011-05-08
192,QUICKSILVER,Amanda Quick,13,9781101524398,1,0,2011-05-08
193,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,14,9780307593672,13,0,2011-05-08
194,THE PARIS WIFE,Paula McLain,15,9780345521323,7,0,2011-05-08
195,A VISIT FROM THE GOON SQUAD,Jennifer Egan,16,9780307477477,0,0,2011-05-08
196,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,17,9780307272119,0,0,2011-05-08
197,SAVE ME,Lisa Scottoline,18,9781429959797,0,0,2011-05-08
198,CUTTING FOR STONE,Abraham Verghese,19,9780375714368,0,0,2011-05-08
199,THE 9TH JUDGMENT,James Patterson and Maxine Paetro,20,9780446565509,0,0,2011-05-08
200,WATER FOR ELEPHANTS,Sara Gruen,1,9781616200817,14,0,2011-05-15
201,SOMETHING BORROWED,Emily Giffin,2,9781429904605,3,0,2011-05-15
202,THE SIXTH MAN,David Baldacci,3,9780446573078,2,0,2011-05-15
203,THE HELP,Kathryn Stockett,4,9780425232200,11,0,2011-05-15
204,A GAME OF THRONES,George RR Martin,5,9780553897845,3,0,2011-05-15
205,THE LINCOLN LAWYER,Michael Connelly,6,9780759514713,8,0,2011-05-15
206,THE FIFTH WITNESS,Michael Connelly,7,9780316069380,4,0,2011-05-15
207,SAVAGE NATURE,Christine Feehan,8,9780515149333,1,0,2011-05-15
208,BEL-AIR DEAD,Stuart Woods,9,9781101513910,1,0,2011-05-15
209,CHASING FIRE,Nora Roberts,10,9781101513781,3,0,2011-05-15
210,A TURN IN THE ROAD,Debbie Macomber,11,9781459201521,1,0,2011-05-15
211,MOONLIGHT COVE,Sherryl Woods,12,9780778329794,1,0,2011-05-15
212,ANY MAN OF MINE,Rachel Gibson,13,9780062079169,1,0,2011-05-15
213,THE PARIS WIFE,Paula McLain,14,9780345521323,8,0,2011-05-15
214,I’LL WALK ALONE,Mary Higgins Clark,15,9781439186794,4,0,2011-05-15
215,THE LAND OF PAINTED CAVES,Jean M Auel,16,9780517580516,0,0,2011-05-15
216,BORN OF SHADOWS,Sherrilyn Kenyon,17,9780446573245,0,0,2011-05-15
217,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,18,9780307593672,0,0,2011-05-15
218,THE SEARCH,Nora Roberts,19,9780515149487,0,0,2011-05-15
219,WORTH DYING FOR,Lee Child,20,9780440246299,0,0,2011-05-15
220,DEAD RECKONING,Charlaine Harris,1,9780441020317,1,0,2011-05-22
221,10TH ANNIVERSARY,James Patterson and Maxine Paetro,2,9780316126946,1,0,2011-05-22
222,WATER FOR ELEPHANTS,Sara Gruen,3,9781616200817,15,0,2011-05-22
223,SOMETHING BORROWED,Emily Giffin,4,9781429904605,4,0,2011-05-22
224,THE HELP,Kathryn Stockett,5,9780425232200,12,0,2011-05-22
225,THE SIXTH MAN,David Baldacci,6,9780446573078,3,0,2011-05-22
226,NO TIME LEFT,David Baldacci,7,9781455504398,1,0,2011-05-22
227,A GAME OF THRONES,George RR Martin,8,9780553897845,4,0,2011-05-22
228,THE LINCOLN LAWYER,Michael Connelly,9,9780759514713,9,0,2011-05-22
229,SIXKILL,Robert B Parker,10,9780399157264,1,0,2011-05-22
230,THE FIFTH WITNESS,Michael Connelly,11,9780316069380,5,0,2011-05-22
231,I’LL WALK ALONE,Mary Higgins Clark,12,9781439180969,5,0,2011-05-22
232,CHASING FIRE,Nora Roberts,13,9781101513781,4,0,2011-05-22
233,THE LAND OF PAINTED CAVES,Jean M Auel,14,9780517580516,5,0,2011-05-22
234,THE SEARCH,Nora Roberts,15,9780515149487,3,0,2011-05-22
235,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,16,9780307593672,0,0,2011-05-22
236,THE PARIS WIFE,Paula McLain,17,9780345521323,0,0,2011-05-22
237,A TURN IN THE ROAD,Debbie Macomber,18,9781459201521,0,0,2011-05-22
238,SOMETHING BLUE,Emily Giffin,19,9781429904629,0,0,2011-05-22
239,WORTH DYING FOR,Lee Child,20,9780440246299,0,0,2011-05-22
240,WATER FOR ELEPHANTS,Sara Gruen,1,9781616200817,16,0,2011-05-29
241,BURIED PREY,John Sandford,2,9781101515037,1,0,2011-05-29
242,DEAD RECKONING,Charlaine Harris,3,9780441020317,2,0,2011-05-29
243,10TH ANNIVERSARY,James Patterson and Maxine Paetro,4,9780316126946,2,0,2011-05-29
244,SOMETHING BORROWED,Emily Giffin,5,9781429904605,5,0,2011-05-29
245,THE HELP,Kathryn Stockett,6,9780425232200,13,0,2011-05-29
246,THE SIXTH MAN,David Baldacci,7,9780446573078,4,0,2011-05-29
247,THE LINCOLN LAWYER,Michael Connelly,8,9780759514713,10,0,2011-05-29
248,A GAME OF THRONES,George RR Martin,9,9780553897845,5,0,2011-05-29
249,SOMETHING BLUE,Emily Giffin,10,9781429904629,1,0,2011-05-29
250,THE FIFTH WITNESS,Michael Connelly,11,9780316069380,6,0,2011-05-29
251,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,12,9780307593672,14,0,2011-05-29
252,THE PARIS WIFE,Paula McLain,13,9780345521323,9,0,2011-05-29
253,A TURN IN THE ROAD,Debbie Macomber,14,9781459201521,2,0,2011-05-29
254,A CLASH OF KINGS,George RR Martin,15,9780553897852,1,0,2011-05-29
255,SIXKILL,Robert B Parker,16,9781101514665,0,0,2011-05-29
256,THE SNOWMAN,Jo Nesbo,17,9780307599575,0,0,2011-05-29
257,CHASING FIRE,Nora Roberts,18,9781101513781,0,0,2011-05-29
258,THE SEARCH,Nora Roberts,19,9780515149487,0,0,2011-05-29
259,CUTTING FOR STONE,Abraham Verghese,20,9780375714368,0,0,2011-05-29
260,WATER FOR ELEPHANTS,Sara Gruen,1,9781616200817,17,0,2011-06-05
261,THE HELP,Kathryn Stockett,2,9780425232200,14,0,2011-06-05
262,10TH ANNIVERSARY,James Patterson and Maxine Paetro,3,9780316126946,3,0,2011-06-05
263,SOMETHING BORROWED,Emily Giffin,4,9781429904605,6,0,2011-06-05
264,DEAD RECKONING,Charlaine Harris,5,9781101514382,3,0,2011-06-05
265,BURIED PREY,John Sandford,6,9781101515037,2,0,2011-06-05
266,THE JEFFERSON KEY,Steve Berry,7,9780345530165,1,0,2011-06-05
267,THE SIXTH MAN,David Baldacci,8,9780446573078,5,0,2011-06-05
268,A GAME OF THRONES,George RR Martin,9,9780553897845,6,0,2011-06-05
269,SOMETHING BLUE,Emily Giffin,10,9781429904629,2,0,2011-06-05
270,THE LINCOLN LAWYER,Michael Connelly,11,9780759514713,11,0,2011-06-05
271,THE FIFTH WITNESS,Michael Connelly,12,9780316069380,7,0,2011-06-05
272,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,13,9780307593672,15,0,2011-06-05
273,THE PARIS WIFE,Paula McLain,14,9780345521323,10,0,2011-06-05
274,THE SNOWMAN,Jo Nesbo,15,9780307599575,1,0,2011-06-05
275,A CLASH OF KINGS,George RR Martin,16,9780553897852,0,0,2011-06-05
276,A TURN IN THE ROAD,Debbie Macomber,17,9781459201521,0,0,2011-06-05
277,CUTTING FOR STONE,Abraham Verghese,18,9780375714368,0,0,2011-06-05
278,ROOM,Emma Donoghue,19,9780316098328,0,0,2011-06-05
279,SIXKILL,Robert B Parker,20,9781101514665,0,0,2011-06-05
280,WATER FOR ELEPHANTS,Sara Gruen,1,9781616200817,18,0,2011-06-12
281,THE HELP,Kathryn Stockett,2,9780425232200,15,0,2011-06-12
282,SOMETHING BORROWED,Emily Giffin,3,9781429904605,7,0,2011-06-12
283,10TH ANNIVERSARY,James Patterson and Maxine Paetro,4,9780316126946,4,0,2011-06-12
284,BURIED PREY,John Sandford,5,9781101515037,3,0,2011-06-12
285,DEAD RECKONING,Charlaine Harris,6,9780441020317,4,0,2011-06-12
286,THE SIXTH MAN,David Baldacci,7,9780446573078,6,0,2011-06-12
287,A GAME OF THRONES,George RR Martin,8,9780553897845,7,0,2011-06-12
288,FRANKENSTEIN: THE DEAD TOWN,Dean Koontz,9,9780553593686,1,0,2011-06-12
289,THE JEFFERSON KEY,Steve Berry,10,9780345530165,2,0,2011-06-12
290,SOMETHING BLUE,Emily Giffin,11,9781429904629,3,0,2011-06-12
291,CONVICTION,Aaron Allston,12,9780345509109,1,0,2011-06-12
292,THE LINCOLN LAWYER,Michael Connelly,13,9780759514713,12,0,2011-06-12
293,THE FIFTH WITNESS,Michael Connelly,14,9780316069380,8,0,2011-06-12
294,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,15,9780307593672,16,0,2011-06-12
295,A CLASH OF KINGS,George RR Martin,16,9780553897852,0,0,2011-06-12
296,ROOM,Emma Donoghue,17,9780316098328,0,0,2011-06-12
297,THE PARIS WIFE,Paula McLain,18,9780345521323,0,0,2011-06-12
298,CUTTING FOR STONE,Abraham Verghese,19,9780375714368,0,0,2011-06-12
299,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,20,9780307272119,0,0,2011-06-12
300,THE HELP,Kathryn Stockett,1,9781440697661,16,0,2011-06-19
301,SOMETHING BORROWED,Emily Giffin,2,9781429904605,8,0,2011-06-19
302,10TH ANNIVERSARY,James Patterson and Maxine Paetro,3,9780316126946,5,0,2011-06-19
303,SUMMER SECRETS,Barbara Freethy,4,,1,0,2011-06-19
304,JUST LIKE HEAVEN,Julia Quinn,5,9780062079534,1,0,2011-06-19
305,WATER FOR ELEPHANTS,Sara Gruen,6,9781565125605,19,0,2011-06-19
306,BURIED PREY,John Sandford,7,9781101515037,4,0,2011-06-19
307,A GAME OF THRONES,George RR Martin,8,9780553897845,8,0,2011-06-19
308,DREAMS OF JOY,Lisa See,9,9780679604891,1,0,2011-06-19
309,CREED'S HONOR,Linda Lael Miller,10,9780373775804,1,0,2011-06-19
310,BEACH LANE,Sherryl Woods,11,9781459205239,1,0,2011-06-19
311,MAGIC SLAYS,Ilona Andrews,12,9781101515259,1,0,2011-06-19
312,DEAD RECKONING,Charlaine Harris,13,9781101514382,5,0,2011-06-19
313,THE SIXTH MAN,David Baldacci,14,9780446573078,7,0,2011-06-19
314,SOMETHING BLUE,Emily Giffin,15,9781429904629,4,0,2011-06-19
315,THE JEFFERSON KEY,Steve Berry,16,9780345530165,0,0,2011-06-19
316,THE RELUCTANT VAMPIRE,Lynsay Sands,17,9780062087966,0,0,2011-06-19
317,A CLASH OF KINGS,George RR Martin,18,9780553897852,0,0,2011-06-19
318,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,19,9780307593672,0,0,2011-06-19
319,TRACE OF FEVER,Lori Foster,20,9781459205307,0,0,2011-06-19
320,THE HELP,Kathryn Stockett,1,9781440697661,17,0,2011-06-26
321,HIT LIST,Laurell K Hamilton,2,9780425241134,1,0,2011-06-26
322,WATER FOR ELEPHANTS,Sara Gruen,3,9781565125858,20,0,2011-06-26
323,STATE OF WONDER,Ann Patchett,4,9780062049827,1,0,2011-06-26
324,THE KINGDOM,Clive Cussler with Grant Blackwood,5,9780399157424,1,0,2011-06-26
325,BURIED PREY,John Sandford,6,9781101515037,5,0,2011-06-26
326,10TH ANNIVERSARY,James Patterson and Maxine Paetro,7,9780316126946,6,0,2011-06-26
327,A GAME OF THRONES,George RR Martin,8,9780553897845,9,0,2011-06-26
